# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
3.372947615399998766e-02,6.799999999999999378e-01,-1.379273500020186424e+09,-2.253109953282330513e+09,-1.010580117792555122e+01
3.372947615399998766e-02,6.599999999999999201e-01,-9.517409394373866916e+07,-9.614162199411351681e+08,-1.006030968805012016e+01
3.372947615399998766e-02,6.400000000000000133e-01,2.931002319576265812e+08,-3.288778537758645415e+08,-1.003135932703393252e+01
3.372947615399998766e-02,6.199999999999999956e-01,2.484470750516339242e+08,-7.019336426436655223e+07,-1.001109441419414559e+01
3.372947615399998766e-02,5.999999999999999778e-01,1.312706104028329998e+08,-9.455018265044115484e+06,-9.999744662420784636e+00
3.372947615399998766e-02,5.800000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.999447147103440514e+00
3.372947615399998766e-02,5.600000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.002372435420429930e+01
4.497263487199999743e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.057147189878598681e+00
4.497263487199999743e-02,9.799999999999999822e-01,-7.508494992789772034e+10,-1.790150934444255114e+09,-8.887875509950593056e+00
4.497263487199999743e-02,9.599999999999999645e-01,-1.365081309823746796e+11,-6.114101612686620712e+09,-8.785933668834557508e+00
4.497263487199999743e-02,9.399999999999999467e-01,-1.840640709395502319e+11,-1.177203088651809311e+10,-8.736294580721693848e+00
4.497263487199999743e-02,9.200000000000000400e-01,-2.173142317920920105e+11,-1.813031737435975647e+10,-8.723103441043384976e+00
4.497263487199999743e-02,9.000000000000000222e-01,-2.360200536704916382e+11,-2.485313710580828476e+10,-8.739925752232934997e+00
4.497263487199999743e-02,8.800000000000000044e-01,-2.401996178250439148e+11,-3.170551901861716843e+10,-8.789864538029824814e+00
4.497263487199999743e-02,8.599999999999999867e-01,-2.301359346501114197e+11,-3.841360831862048340e+10,-8.886470273455355340e+00
4.497263487199999743e-02,8.399999999999999689e-01,-2.064641418099637756e+11,-4.444425741526209259e+10,-9.056503186533314320e+00
4.497263487199999743e-02,8.200000000000000622e-01,-1.705615589102343140e+11,-4.855951780241889191e+10,-9.336038824485950016e+00
4.497263487199999743e-02,8.000000000000000444e-01,-1.258513539071947327e+11,-4.832426152471540070e+10,-9.733001610856545582e+00
4.497263487199999743e-02,7.800000000000000266e-01,-7.996898506250901794e+10,-4.125986931671033478e+10,-1.016124328551575928e+01
4.497263487199999743e-02,7.600000000000000089e-01,-4.284340922648428345e+10,-2.884069189678276825e+10,-1.046212556087147227e+01
4.497263487199999743e-02,7.399999999999999911e-01,-1.929924781487813568e+10,-1.634228168354739952e+10,-1.055228498217346633e+01
4.497263487199999743e-02,7.199999999999999734e-01,-7.430650111267679214e+09,-7.447198816033252716e+09,-1.046102751108500506e+01
4.497263487199999743e-02,6.999999999999999556e-01,-2.515070273947335720e+09,-2.768793832705115795e+09,-1.030430025621493328e+01
4.497263487199999743e-02,6.799999999999999378e-01,-5.516674321168560982e+08,-8.451034360608993769e+08,-1.017795385997009916e+01
4.497263487199999743e-02,6.599999999999999201e-01,2.749973887708877921e+08,-1.359184946423751712e+08,-1.010346757338432155e+01
4.497263487199999743e-02,6.400000000000000133e-01,4.486989577351440191e+08,1.425513714051851332e+08,-1.005602400905022620e+01
4.497263487199999743e-02,6.199999999999999956e-01,2.609269696033430099e+08,1.574996740808026195e+08,-1.002080730350644444e+01
4.497263487199999743e-02,5.999999999999999778e-01,1.077935585228004903e+08,5.716004733694189042e+07,-1.000315757389396332e+01
4.497263487199999743e-02,5.800000000000000711e-01,2.614918232593074441e+07,4.030025048948664917e+05,-1.000385143862827242e+01
4.497263487199999743e-02,5.600000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000163124635530210e+01
5.621579359000000026e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.640302649643423649e+00
5.621579359000000026e-02,9.799999999999999822e-01,-7.688104783763621521e+10,-1.643607045011725664e+09,-8.484096519018681448e+00
5.621579359000000026e-02,9.599999999999999645e-01,-1.393563502690649719e+11,-5.768477509839548111e+09,-8.382406321430769580e+00
5.621579359000000026e-02,9.399999999999999467e-01,-1.874777288821156006e+11,-1.134015391883042336e+10,-8.328664740564681424e+00
5.621579359000000026e-02,9.200000000000000400e-01,-2.210337457561392517e+11,-1.770983123413074112e+10,-8.313771074080582579e+00
5.621579359000000026e-02,9.000000000000000222e-01,-2.398942647114734192e+11,-2.450968537696824265e+10,-8.334250122492759871e+00
5.621579359000000026e-02,8.800000000000000044e-01,-2.441088205003473511e+11,-3.150920006948897552e+10,-8.395295008317869900e+00
5.621579359000000026e-02,8.599999999999999867e-01,-2.339094813432549744e+11,-3.849429438645005798e+10,-8.514324722170337978e+00
5.621579359000000026e-02,8.399999999999999689e-01,-2.097031915937803040e+11,-4.506516330588992310e+10,-8.728485555588772371e+00
5.621579359000000026e-02,8.200000000000000622e-01,-1.722346793592241516e+11,-5.010393393515366364e+10,-9.100872770045471682e+00
5.621579359000000026e-02,8.000000000000000444e-01,-1.239417783246254730e+11,-5.064694362727770996e+10,-9.681368230141895737e+00
5.621579359000000026e-02,7.800000000000000266e-01,-7.340733374190959167e+10,-4.238248036643943787e+10,-1.033911457741153761e+01
5.621579359000000026e-02,7.600000000000000089e-01,-3.463117442704642487e+10,-2.707885042365369797e+10,-1.078867220938303717e+01
5.621579359000000026e-02,7.399999999999999911e-01,-1.284895546394274139e+10,-1.302099405146081734e+10,-1.087400204919322277e+01
5.621579359000000026e-02,7.199999999999999734e-01,-3.915906809501809120e+09,-4.323503013664876938e+09,-1.069092418341322137e+01
5.621579359000000026e-02,6.999999999999999556e-01,-1.113206294594199181e+09,-6.921852544195564985e+08,-1.041543110426628083e+01
5.621579359000000026e-02,6.799999999999999378e-01,-1.393619711842460930e+08,3.139980591837683916e+08,-1.023252950603060007e+01
5.621579359000000026e-02,6.599999999999999201e-01,4.000304609633731842e+08,4.574179875461073518e+08,-1.013839153386522263e+01
5.621579359000000026e-02,6.400000000000000133e-01,4.600759952219460607e+08,4.395161805867304206e+08,-1.007885094060540432e+01
5.621579359000000026e-02,6.199999999999999956e-01,1.675080074863283634e+08,2.436265124370719194e+08,-1.002349769145791747e+01
5.621579359000000026e-02,5.999999999999999778e-01,4.431679760671954602e+07,6.247997406553127617e+07,-1.000183742857925040e+01
