# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
1.405394839749999902e-01,4.500000000000000111e-01,9.615315544048111609e-07,3.359293088421794441e-07,9.999754681559501535e+00
1.405394839749999902e-01,4.000000000000000222e-01,1.718291758797661819e-06,1.700098638206017384e-07,1.000000839134983543e+01
1.405394839749999902e-01,3.499999999999999778e-01,1.476107646285884987e-06,-5.015436078486713056e-07,1.000000270495193355e+01
1.405394839749999902e-01,2.999999999999999889e-01,9.839826778574258002e-07,-4.364737206389695060e-07,6.813952923791615213e+00
1.405394839749999902e-01,2.500000000000000000e-01,7.638923091190268213e-07,-2.870701622989394679e-07,4.778188780086248144e+00
1.405394839749999902e-01,2.000000000000000111e-01,5.990575396615915329e-07,-1.139903276444569433e-07,3.872921312823985218e+00
1.405394839749999902e-01,1.499999999999999944e-01,5.305656523347453786e-07,-3.774148497940109114e-08,3.564987397164612215e+00
1.405394839749999902e-01,9.999999999999997780e-02,4.934410014157492690e-07,-7.970748834164124360e-09,3.482615300961306559e+00
1.405394839749999902e-01,5.000000000000003747e-02,4.749841598230834425e-07,2.983795638582062908e-10,3.477942277648274239e+00
1.405394839749999902e-01,0.000000000000000000e+00,4.693607001485993445e-07,0.000000000000000000e+00,3.482808163447723260e+00
1.686473807699999938e-01,1.000000000000000000e+00,9.293113941185390559e+01,0.000000000000000000e+00,3.647046865074265565e+00
1.686473807699999938e-01,9.499999999999999556e-01,8.779734857388146452e+01,1.356287249370505155e+00,3.698007064298135749e+00
1.686473807699999938e-01,9.000000000000000222e-01,7.210956439576023058e+01,2.354960192683961395e+00,3.873053300709744740e+00
1.686473807699999938e-01,8.499999999999999778e-01,4.508247601578339214e+01,2.537593566143320878e+00,3.831889501263019415e+00
1.686473807699999938e-01,8.000000000000000444e-01,8.865701184326946205e+00,1.321056340245232441e+00,6.648681316490222315e+00
1.686473807699999938e-01,7.500000000000000000e-01,1.734477429279952696e-06,2.224168579814474983e-06,3.293689110145810783e+00
1.686473807699999938e-01,6.999999999999999556e-01,-5.242203875237282990e-08,-3.296008577512344989e-07,5.472584877046409169e+00
1.686473807699999938e-01,6.500000000000000222e-01,8.223401978964616247e-07,-1.121584298657764748e-07,4.145701987386579468e+00
1.686473807699999938e-01,5.999999999999999778e-01,1.066659133806013235e-06,-1.584539538604487436e-07,3.487942851533425426e+00
1.686473807699999938e-01,5.500000000000000444e-01,1.096849931576277800e-06,-3.480264419244525997e-08,2.739737278583949998e+00
1.686473807699999938e-01,5.000000000000000000e-01,1.195415465882738040e-06,2.478458866966566914e-07,3.258798168107665649e+00
1.686473807699999938e-01,4.500000000000000111e-01,1.411762089735729845e-06,2.667130481385293562e-07,5.112309309375906885e+00
1.686473807699999938e-01,4.000000000000000222e-01,1.589212426575640984e-06,6.655941594947355253e-08,6.211507370797623828e+00
1.686473807699999938e-01,3.499999999999999778e-01,1.518258496033568910e-06,-2.682358858751459446e-07,5.729311063783509184e+00
1.686473807699999938e-01,2.999999999999999889e-01,1.180341274802140792e-06,-2.860879662613629442e-07,3.690915480153989403e+00
